;;
Spalte1;E-mail ;Notizen 
u.s.w.;office@uswbeisl.com;Nachtlokal , Studenten & Junge Menschen , Party 
Addicted to Rock;1060@addicted.at;Bruger ,  Rock , Vibes Only 
Schneider-Gössl Sektbar;office@schneider-goessl.at;Heurigen Restaurant , Wein , Traditonell Österreich 
Bar Pani;bar@barpani.com;Preisgekönte Bar , 93 Fallstaff Punkte , besonders Edel 
Xeno;info@xeno.at;Die Café-Bar XENO ist seit 1984 ein beliebter Treffpunkt für KünstlerInnen und NachtschwärmerInnen
Chill out;office@chillout-lounge.at;Modern , Edel , Nettes Lokal um die Ecke 
Top Kino Bar;office@topkino.at;Kino mit Bar , Studenten , Modern , Süß 
Blue Bar;reservations@blue-bar.at;Nachtlokal , Cocktails 
The Loft;office@theloft.at;Nachtclub , DJs , Tanzmusik , Gürtel nähe 
Nightfly's American Bar;booking@nightflys.at;Innen Stadt Lokal , Old-School Bar , Vinyl 
Club Berlin;office@clubberlin.at;Nachbarschaftslokal , Nette Vibes, das highlight im Stuwer Viertel 
Dino's Apothecary Bar;info@dinos.at;American Bar , Mixology , Modern , Edel 
Mon Cher;booking@mon-cher.at;Brasserie & Bar , Edel , Gehoben 
rhiz;office@rhiz.wien;Club , Djs , Gürtel , Alternativ 
Cuba Libre;mm.cubalibre@gmail.com;"Snacks und kleine Speisen (z.B. Schinken-Käse-Toast); Cocktails, Weine mit Schwerpunkt Österreich, Bouteillenweine"
Onyx Bar;onyx@doco.com;Do&co Gruppe , Coparate , Innen - Stadt , sushi und bar 
krypt.;drink@krypt.bar;"Versteckte Bar, die von außen nicht zu erkennen ist; exklusive Auswahl an versch. Drinks, Craft-Cocktails und Barsnacks."
Zum Schwarzen Flamingo;eure.flaminge@gmail.com;Espresso und Bar im origional belassenen Mid Century-Design , Essen und Trinken , regelmäßig Lesungen, DJ-Sets, Konzerte, Cocktailabende
Atlas Bar and Gallery;galerie@atlasatlas.at;Kombination von Bar und Galerie mit Fokus auf Craft-Bier und Naturwein
The Hive; OFFICE@THE-HIVE.AT;Nachtlokal , Cocktails , Essen 
Kruger's American Bar;office@krugers.at;"Bar im Stil der 1930er-Jahre mit originaler Ledergarnituren aus den 20er und 30er Jahren; Auswahl an über 260 Cocktails"
O der Klub;RP@RP@HORST-GROUP.COM;Schicker, moderner Veranstaltungsort in einer ehemaligen Unterführung mit Live-Musik, DJ-Sessions und modernem Essen aus aller Welt.
Das Torberg;grinz-ing@gmx.at;"Abendlokal; Speisekarte mit Snacks und kleinen Speisen; ausgewählte Biere (Hofbräuhaus Traunstein) und österreichische Weine, großes Whisky- und Ginangebot"
Puff;instgram;Eigen ( Ignore)
First Floor Bar;drinks@firstfloorbar.at;"Schöne American Bar ein Stock über dem Gewurl des Bermude-Dreiecks. Ggroße Getränkeauswahl: über 300 Cocktails, Whiskey, Rum; Do Livemusik"
Tredici Gradi;wein@tredicigradi.at;Weinbar , Bio - Wein , Innen - Stadt Lokal , Italenischer Wein 
The Underdog Bar;drinks@underdog.bar;Hot Dogs in versch. Variationen (vegan möglich), große Getränkeauswahl: hausgemachte Limonaden, Bio Limonaden, Bier 
The Sign;office@thesignlounge.at;"Mehrfach ausgezeichnete American Bar; große Auswahl an Spirituosen und Cocktails, teils eigene Kreationen, hauseigener Gin"
El Fuego;diebar@event-bar-elfuego.at;Modern , Edel , Nettes Lokal um die Ecke 
Grüner Kakadu;office@gruenerkakadu.com;Normale Cocktailbar , Innenstadt 
Die Parfümerie ;office@dieparfuemerie.net;Bar mit gutem Getränkesortiment, Cocktails, Longdrinks, Spirituosen, Bier , Catering mit mobiler Bar. Div. Veranstaltungen (z. B. Speed-Dating).
Combo Bar;office@combobar.com;"Gemütliche Neighborhood-Bar; Signature-Drinks, erfrischenden Spritz- und Fizz-Variationen, kleine Weinkarte, kreative Cocktails"
Wiener Blut;rudolf-buzasi@icloud.com;Minilokal mit familiärer Atmosphäre des Szenelokalurgesteins Rudi Buzasi: Ginbar mit bis zu 100 Sorten
beimir;"office@beimir.at
";"Bezaubernde, kleine Cocktail-Bar; selbstgemachte Limonaden, jede Menge Cocktails (sowohl Klassiker als auch Eigenkreationen); kleine Bar Snacks"
Sofie's Bar;office@sofiesbar.at;Moderne Kreative Cocktails , Innenstadt - Lokal 
SLU-Bar;slupetzky.nikolaus@gmx.at;Nikolaus Slupetzky ist einer der Wiener Großmeister des Gins – entsprechend bietet er in seiner Bar 282 Sorten an. Hinzu kommen zahllose Tonic Waters und andere Filler
Ganz Wien; christopher@cafeliebling.at;"Bar mit Clubraum im Keller; Snacks wie Toast und Nüsse , Modern , jung , Alternativ "
Azul Bar;office@azul-bar.at ;Modern , Edel , Coporate , Start - Up Vibes 
Kramladen;kramladenvienna@gmail.com;Konzerte , Alternativ , Punk , Studenten und Junge Menschen 
Aristo Bar;aristo.rucki@gmail.com;"Cocktailsbar mit einer Auswahl an über 30 Cocktails; Lokal für Veranstaltungen"
Mozart & Meisl;office@mozart-meisl.at;"Modernes Wiener Szenebeisl mit Fokus auf Burger und Bowls; Saisonale Spezialitäten, Beef Tatar, auch vegetarische und vegane Speisen"
The Birdyard;hello@thebirdyard.at;"Schillernde, großartig gestaltete Bar von den Inhabern von Mama Liu & Sons; große Auswahl an kreativen Cocktails"
schadekgasse 12;info@cafeliebling.at;"Café von den Betreibern des Liebling; Kleine Snacks wie Toast und Kuchen; alkoholfreie und alkoholische Eigenkreationen"
First American Bar;firstamericanbar@chello.at;"American Bar mit über 200 Whiskeysorten, über 260 Cocktails, Spirituosen, 60 Rumsorten; Veranstaltungen wie Faschings-, Halloween- und Silvesterfest"
Achtundzwanzig;office@achtundzwanzig.at;Heitere Underground-Bar mit Craft-Bier der Wiener Brauerei Brew Age, diverse andere Getränke
Agent Oscar;info@agentoscar.at;"American Cocktailbar mit über 300 (inter)nationale Spirituosen, 400 Cocktails; Snacks wie hausgemachtes Chili-Popcorn"
Josef Bar;reservierung@josef-bar.at;Gehoben , Innen - Stadt , Fallstaff 93 Punkte 
Social Club Vienna;welcome@socialclubvienna.at;"American Bar mit Chesterfield-Garnitur in entspannter Atmosphäre; Auswahl an exklusiven Cocktails von Bartender Sali Mileta"
Porto;portobargmbh@gmail.com;"Bar & Club mit gemütlichem Ambiente; akustische Live-Musik vom Balkan"
Tredici e Mezzo - 13.5Â°;wein@tredicigradi.at;Weinbar , Bio - Wein , Innen - Stadt Lokal , Italenischer Wein 
Cafe Inspection;inspection@aon.at;Kleine Bar , Moderne Atmospäre , Cocktails 
Praterstrasse;office@praterstrasse.wien;Moderner Club mit Bar , Internationale Djs , Techno , House , Kreaitive Clubs 
Coco;office@coco-bar.at;Gürtel Lokal , Cocktails , Studenten , Alternativ 
Luster;welcome@luster.bar;"Bar mit Regalkonstruktion, die an einen Luster erinnert; große Auswahl an Cocktails und Drinks"
Noah´s Ark Experimental Cocktail Club;info@noahsarkexperimentalcocktailclub.at;"Cocktailbar; viele Cocktailklassiker, aber auch kreative Neukreationen;"
Kolibri;office@cafe-kolibri.at;Kreative kleine Cocktail Bar , Modernes Ambiente , Kreative Cocktails , Nachbarschaftslokal 
Moby Dick;ahoi@mobydickvienna.at;Aktuell etwas hinter der U Bahn-Baustelle versteckte Cocktailbar mit Low-Waste-Prinzip, Cocktail-Eigenkreationen
Needle Vinyl Bar;contact@needlevinylbar.com;"Schallplatten-Bar mit Fokus auf Blues, Jazz und Rock´n´Roll; Auswahl an Antipastiplatten, Getränke wie Hausbrand, zahlreiche versch. Spirituosen, Cocktails, Longdrinks, Biere, österreichische Wein"
Pigalle;office@pigalle-wien.com;"Cocktailbar mit französischem Flair auf zwei Etagen, internationale sowie französisch angehauchte Barsnacks; Signature und klassische Cocktails, französische Aperitifs, Crémant, Champagner, Bier und Wein"
Maria und Josef;contact@mariaundjosefwien.at;"Restaurant, Bar und Shop mit mediterraner und orientalisch inspirierter Küche; viele vegetarische und vegane Gerichten, aber auch Meeresfrüchte und Fleisch"
