@id;@type;name;addr:street;addr:housenumber;addr:postcode;addr:city;amenity;cuisine;website;email;phone;contact:phone;contact:email;opening_hours;;;;;;;;;;;
249568684;node;Turkmen Restaurant;Hofferplatz;8;1160;Wien;restaurant;;;;;;;Mo-Su 10:00-22:00;;;;;;;;;;;
249711653;node;Cafe U1;Taubstummengasse;17;1040;Wien;cafe;;;;;;;Tu-Fr 17:30-24:00;;;;;;;;;;;
249711654;node;Wiener Wiaz'haus;GuÃŸhausstraÃŸe;24;1040;Wien;restaurant;austrian;https://www.wiener-wiazhaus.at/;;+43 1 5054507;;;"Mo-Fr 17:00-22:00; Sa,Su off ""Variable Ã–ffnungszeiten an Feiertagen""";;;;;;;;;;;
249711655;node;TU Wien Mensa Freihaus;Wiedner HauptstraÃŸe;08. Okt;1040;Wien;restaurant;;http://menu.mensen.at/index/index/locid/9;mensa.tuwien@mensen.at;+43 1 5866502;;;Mo-Fr 08:00-14:00;;;;;;;;;;;
249733140;node;Pink Pepper;;;;;cafe;;;;;;;;;;;;;;;;;;
249884081;node;Diglas am Markt;Gersthofer Markt;07. Nov;1180;Wien;restaurant;;https://www.diglas-markt.at;;+43 1 4787546;;;Mo-Fr 18:00-18:00; Sa 08:00-12:00;;;;;;;;;;
250077138;node;Buffalino Vienna;Gersthofer StraÃŸe;21;1180;Wien;restaurant;pizza;italian;https://buffalino.wien;;;;;12:00-23:00;;;;;;;;;;
250380570;node;Bui Vien Street;HÃ¶rnesgasse;17;1030;Wien;restaurant;vietnamese;https://www.buivien-vienna.com/;;+43 1 8130291;;;"Mo off; Di-Mi 12:00-22:00; Do-Sa, 12:00-23:00, Su 15:00-22:00, PH 17:00-22:00";;;;;;;;;;;
251523468;node;BioFrische;Lazaristengasse;2;;;restaurant;indian;https://biofrische.wien/;;+43 1 95 292 15;;;Mo-Su 11:00-22:00;;;;;;;;;;;
252467398;node;Pasta e Basta;Gentzgasse;127;1180;Wien;restaurant;;;;;;;;;;;;;;;;;;
252467399;node;Zum gemÃ¼tlichen Weinhauser;Gentzgasse;125;1180;Wien;restaurant;;http://zum-weinhauser.at/;kontakt@zum-weinhauser.at;4,36776E+12;;;Mo 10:00-22:00, Th-Fr 10:00-22:00, Sa-Su 09:00-22:00;;;;;;;;;;;
252549228;node;Bieriger;SchweglerstraÃŸe;37;1150;Wien;restaurant;regional;http://bieriger.at;;+43 1 789 66 06;;;"Mo-Th,Su 10:00-24:00; Fr-Sa 10:00-01:00";;;;;;;;;;;
252549230;node;Kent;;;;;restaurant;turkish;;;;;;Mo-Fr 07:00-24:00, Sa,Su 06:00-24:00;;;;;;;;;;;
254904592;node;GiersterbrÃ¤u;Gierstergasse;10;1120;Wien;restaurant;;http://www.giersterbraeu.com/;;;;;Mo-Su 10:00-24:00;;;;;;;;;;;
256669740;node;CafÃ© Erdgeschoss;Schottenfeldgasse;95;1070;Wien;cafe;turkish;;;;+43 19445274;cafe.erdgeschoss@gmail.com;"Mo-Sa 17:00-24:00; Su,PH 10:30-17:00";;;;;;;;;;;
256669781;node;CaffÃ¨ Latte;Neubaugasse;39;1070;Wien;cafe;;https://www.caffelatte.eu/;;;;;Su-Th,PH 08:00-24:00, Fr,Sa 08:00-01:00;;;;;;;;;;;
256669819;node;Plutzer BrÃ¤u;Schrankgasse;2;1070;Wien;restaurant;;https://plutzerbraeu.at/;;;;;"Mo-Sa 11:00-23:00; PH,Su 11:00-21:00";;;;;;;;;;;
257613384;node;Il Sestante;;;;;restaurant;pizza;http://www.sestante.at/;;;;;Mo-Su 11:30-23:00;;;;;;;;;;;
258051472;node;Ottakringer Sportkantine;;;;;cafe;;;;;;;;;;;;;;;;;;
258051477;node;Gasthaus Schmid;Kollburggasse;4;1160;Wien;restaurant;regional;;;4314856311;;;"We-Su 11:00-16:00; Mo,Tu off";;;;;;;;;;;
259640958;node;Kaffeeamt;Schiffamtsgasse;8;1020;Wien;cafe;coffee_shop;sandwich;breakfast;cake;https://kaffeeamt.at/;hallo@kaffeeamt.at;;;;"Mo,We-Fr 08:00-17:30; Sa,Su,PH 09:00-17:30; Tu off";;;;;;;;
259641273;node;SchÃ¶ne Perle;GroÃŸe Pfarrgasse;2;1020;Wien;restaurant;austrian;http://www.schoene-perle.at/gasthaus/;;+431 890 32 04;;;Mo-Fr 11:00-24:00; Sa-Su 10:00-24:00;;;;;;;;;;
260990967;node;Gasthaus Genuss;HÃ¼tteldorfer StraÃŸe;200;1140;Wien;restaurant;regional;burger;https://gasthaus-genuss.gusti.at/;;4319568173;;;;;;;;;;;;;
264606980;node;Gmiatliches Eck;;;1030;Wien;cafe;;;;;;;Mo-Fr 07:00-22:00; Sa 08:00-12:00;;;;;;;;;;
265002408;node;BÃ¤ckerei Schwarz;AuhofstraÃŸe;138;1130;Wien;cafe;;;;;;;Mo-Sa 06:00-19:00; Su 08:00-19:00;;;;;;;;;;
265002900;node;Felber;;;;;cafe;;;;;;;;;;;;;;;;;;
266281901;node;Lobauer LÃ¶we;EÃŸlinger Furt;4;1220;Wien;restaurant;regional;https://lobauerloewe.at/;;+43 (0)664 99 639 799;;;;;;;;;;;;;;
267262865;node;BierstÃ¶ckl;Hetzendorfer StraÃŸe;79;1120;Wien;restaurant;regional;;;;4318032134;office@bierstoeckl.at;;;;;;;;;;;;
267263160;node;Beethoven;Hetzendorfer StraÃŸe;75a;1120;Wien;restaurant;regional;https://www.restaurant-beethoven.at/;;;4,36992E+12;restaurant-beethoven@hotmail.com;PH,Mo-Su 11:00-22:00;;;;;;;;;;;
268500778;node;Ice & Friends;;;;;restaurant;;;;;;;;;;;;;;;;;;
269208762;node;Restaurant SURA;SingerstraÃŸe;13;1010;Wien;restaurant;korean;japanese;https://www.sura.wien/;info@sura.wien;+43 1 512 84 26;;;Mo-Su 11:30-23:00;;;;;;;;;;
269208764;node;Cheng Chinese Cuisine;SingerstraÃŸe;11a;1010;Wien;restaurant;chinese;;;;;;Mo-Fr 11:30-21:00;;;;;;;;;;;
269209054;node;aÃ¯da;SingerstraÃŸe;1;1010;Wien;cafe;coffee_shop;;;+43 1 890 89 88 210;;;Mo-Su 08:00-23:00;;;;;;;;;;;
269904458;node;Housecafe;Hetzendorfer StraÃŸe;50;1120;Wien;cafe;austrian;breakfast;https://www.housecafe.at/;;;;;"Mo-Fr 08:00-20:00; Sa,PH 09:00-14:00";;;;;;;;;;
270066222;node;VestibÃ¼l;;;;;restaurant;;;;;;;;;;;;;;;;;;
271817593;node;CapuVino;Jedlersdorfer StraÃŸe;294;1210;Wien;restaurant;italian;regional;http://www.capuvino.at/;office@capuvino.at;+43 1 290 32 33;;;Mo-Fr 11:00-22:00;;;;;;;;;;
277843035;node;CafÃ¨ SchrÃ¶dinger;;;;;restaurant;;https://www.mensen.at/;;;;;Mo-Fr 09:00-16:00; PH off;;;;;;;;;;
278548603;node;Solo Pizza e Birra;Alser StraÃŸe;4;1090;Wien;restaurant;pizza;https://www.solopizza.at/;reservierung@solopizza.at;+43 1 4029182;;;Mo-Su 11:00-23:00;;;;;;;;;;;
279452021;node;Cafe Frey;;;;;cafe;regional;;;;;;Mo-Fr 07:00-21:00, Sa,Su,PH 09:00-21:00;;;;;;;;;;;
280812411;node;Tandoori Junction;Antonigasse;9;1180;Wien;restaurant;indian;https://tandoorijunction.at/;office@tandoorijunction.at;;+43 681 814 06 162;;Tu-Fr 11:00-14:00, Mo-Fr 18:00-22:00, PH,Sa,Su 12:00-22:00;;;;;;;;;;;
280813671;node;TacoLand;;;;;restaurant;;;;;;;Mo-Su 10:30-21:30;;;;;;;;;;;
281295823;node;FischerbrÃ¤u;BillrothstraÃŸe;17;1190;Wien;restaurant;beer;https://fischerbraeu.at/;;;+43 1 369 59 49;;Mo-Su 16:00-00:30;;;;;;;;;;;
283318282;node;XXL BrÃ¼nner Stadl;BrÃ¼nner StraÃŸe;44;1210;Wien;restaurant;regional;;;;;;We-Su 11:00-22:00;;;;;;;;;;;
286557366;node;Gasthaus am Predigtstuhl;OberwiedenstraÃŸe;34;1170;Wien;restaurant;regional;https://www.gasthaus-am-predigtstuhl.at/;office@gasthaus-am-predigtstuhl.at;+43 1 4841156;;;;;;;;;;;;;;
288015983;node;Kutschker 44;Kutschkergasse;44;1180;Wien;restaurant;;https://www.kutschker44.at/;;+43 1 4702047;;;Tu-Sa 16:00-24:00;;;;;;;;;;;
288015984;node;Ristorante Roma;Kutschkergasse;39;1180;Wien;restaurant;italian;https://www.ristorante-roma.at/;;;4314796630;;Mo-Su 11:30-23:00;;;;;;;;;;;
288089459;node;Ju Xin Yuan;Josef-Palme-Platz;1;1140;Wien;restaurant;chinese;;;+43 (1) 9791007;;;;;;;;;;;;;;
288187563;node;Oberlaa;WÃ¤hringer StraÃŸe;108;1180;Wien;cafe;;https://oberlaa-wien.at/standorte/standort-wahring/;;;;;Mo-Su 08:30-19:00;;;;;;;;;;;
288643493;node;Waldtzeile;Speisinger StraÃŸe;2;1130;Wien;restaurant;regional;https://waldtzeile.at/;;+43 1 8045394;;;Tu-Sa 11:30-21:30; Su 11:30-15:00;;;;;;;;;;
289642463;node;Antique;Kardinal-Rauscher-Platz;3;1150;Wien;cafe;;;;+43 664 5032296;;;Mo-Th 12:00-24:00, Fr-Su 12:00-02:00;;;;;;;;;;;
289642464;node;Cafe-Konditorei Angelmayer;MeiselstraÃŸe;G5;1150;Wien;cafe;cake;http://www.konditorei-angelmayer.at;;;;;Mo-Fr 07:00-18:00; Sa 07:00-13:00;;;;;;;;;;
289942099;node;Das Eis;Maurer Hauptplatz;10;1230;Wien;cafe;ice_cream;coffee;https://www.daseis.at/;;+43 1 889 34 98;;;"Mar-Apr: Mo-Su,PH 10:00-20:00; May-Aug: Mo-Su,PH 10:00-22:00; Sep: Mo-Su,PH 10:00-20:00";;;;;;;;;;
289943660;node;Restaurant Suli;Maurer Hauptplatz;129;1230;Wien;restaurant;chinese;https://restaurant-suli.at/;;+43 1 886 31 42;;;Mo-Su,PH 11:00-15:00,17:30-22:00;;;;;;;;;;;
290257793;node;Silberwirt;Schlossgasse;21;1050;Wien;restaurant;regional;https://www.silberwirt.at/;;;;;Mo-Su,PH 12:00-24:00;;;;;;;;;;;
290481672;node;Wambacher;Lainzer StraÃŸe;123;1130;Wien;restaurant;austrian;local;regional;https://wambacher.co.at/;reservierung@wambacher.co.at;+43-1-804 83 66;;;11:00-24:00;;;;;;;;;
291576552;node;Skyline Lounge;Am Kahlenberg;02. Mrz;1190;Wien;restaurant;;;;+43 1 3281500;;;;;;;;;;;;;;
291765444;node;La Fornace;Ziegelofengasse;15;1050;Wien;restaurant;pizza;italian;https://www.lafornace.at/;;+43 1 9416694;;;Tu-Sa 11:30-14:30,17:00-24:00;;;;;;;;;;
294137696;node;Treu am Platzl;Piaristengasse;52;1080;Wien;restaurant;;http://treu-wien.at;;;;;Mo-Fr 08:00-24:00; Sa-Su 09:00-24:00;;;;;;;;;;
294285276;node;Himmel und Wasser;;;;;restaurant;;http://www.himmelundwasser.at/;;+43 699 11770778;;;May-Sep We-Su 11:00-20:30;;;;;;;;;;;
294507916;node;CafÃ© OberdÃ¶bling;;;;;cafe;;https://cafe-konditorei-oberdoebling.at/;;;;;"Mo-Fr 08:00-19:00; Sa,Su 08:00-18:00";;;;;;;;;;;
295386885;node;Madera;Klosterneuburger StraÃŸe;64;1200;Wien;restaurant;italian;;;;;;Tu-Sa 11:00-23:00; Su 11:00-22:00;;;;;;;;;;
295387954;node;ZwischenbrÃ¼ckenwirt;;;;;restaurant;regional;;;;;;"Mo-Th 18:00-22:00; Fr,Sa 18:00-23:00";;;;;;;;;;;
295413442;node;Schopenhauer;Staudgasse;1;1180;Wien;cafe;;https://www.cafeschopenhauer.at/;;+43 1 406 32 88;;;"Mo-Sa 08:00-23:00; Su,PH 08:00-22:00";;;;;;;;;;;
295413460;node;Bao panda;Kreuzgasse;12;1180;Wien;restaurant;asian;;;;;;Su-Fr 11:00-22:00; Sa off;;;;;;;;;;
295563588;node;felzl;WÃ¤hringer StraÃŸe;52;1090;Wien;restaurant;;;;;;;;;;;;;;;;;;
296854420;node;Freiherz;Alser StraÃŸe;4;1090;Wien;restaurant;austrian;https://www.freiherz.at/;info@freiherz.at;+43 1 3661090;;;Mo-Th 11:30-23:00, Fr-Sa 11:30-24:00, Su 11:30-22:00;;;;;;;;;;;
296920676;node;Pizzeria Caorle;;;;;restaurant;pizza;;;;;;11:00-23:00;;;;;;;;;;;
297160436;node;Pelmen Cafe;Schwendergasse;61;1150;;cafe;russian;;;;;;Mo-Sa 10:00-20:00; Su 12:00-20:00;;;;;;;;;;
297478688;node;Carl Ludwig Cafe;FavoritenstraÃŸe;7;1040;Wien;cafe;;;;;+43 664 4972665;info@carlludwig.cafe;"Mo-Fr 07:30-19:00; Sa 10:00-17:00; Su,PH off";;;;;;;;;;;
298163080;node;Kama & Co.;Anton-Baumgartner-StraÃŸe;44;1230;Wien;restaurant;asian;;;+43 16628039;;;Mo-Su 11:30-15:00; Mo-Su 17:00-22:00;;;;;;;;;;
298347612;node;Kebap-Haus;Faulmanngasse;1;1040;Wien;restaurant;turkish;;;;;;;;;;;;;;;;;
298553659;node;Cafe Mocca;Gersthofer StraÃŸe;2;1180;Wien;cafe;regional;https://www.cafemocca.eu/;;+43 1 890 35 93;;;Mo-Su 08:00-01:00;;;;;;;;;;;
298620530;node;Wok House;Erzherzog-Karl-StraÃŸe;169;1220;Wien;restaurant;asian;https://www.wokhouse.at/;;;;;;;;;;;;;;;;
298713610;node;GÃ¶sser Bierklinik;Steindlgasse;4;1010;Wien;restaurant;regional;http://www.goesser-bierklinik.at/;;+43 (1) 533 75 98 12;;;Mo-Su 12:00-23:00;;;;;;;;;;;
301428914;node;Sushi Xiang;;;;;restaurant;asian;http://www.sushixiang.at;;;;;PH,Mo-Su 11:00-22:00;;;;;;;;;;;
301430742;node;La Margherita;Erlaaer Platz;1;1230;Wien;restaurant;italian;;;;;;;;;;;;;;;;;
301431463;node;Wiesenstadt;Anton-Baumgartner-StraÃŸe;125;1230;Wien;restaurant;;http://www.wiesenstadt-restaurant.at/;;;;;;;;;;;;;;;;
302734708;node;Madre;Markgraf-RÃ¼diger-StraÃŸe;12;1150;Wien;restaurant;italian_pizza;https://www.restaurantmader.com/;;+43 1 9823350;;;We-Fr 17:00-23:00; Sa 11:30-23:00; Su 11:30-16:00;;;;;;;;;
303507170;node;Einfach So;;;;;restaurant;;;;;;;Sa off; Su-Fr 17:00-23:30;;;;;;;;;;
304983570;node;Figls;Grinzinger StraÃŸe;55;1190;Wien;restaurant;;https://www.figls.at/;;+43 1 320 42 57;;;Mo-Su 11:30-23:00;;;;;;;;;;;
306005700;node;mikado - sushi style;GymnasiumstraÃŸe;27;1180;Wien;restaurant;japanese;http://www.mikado.cc/;;;;;Su-Fr 11:30-15:00,17:30-22:30;;;;;;;;;;;
306016537;node;Sohyi Sushi;Schlagergasse;9;1090;Wien;restaurant;sushi;;;;+43 (1) 407 34 19;office@sohyisushi.at;"Mo-Fr 11:00-14:30,17:00-22:30; Sa,Su,PH 17:00-22:30";;;;;;;;;;;
306083017;node;Statt-Beisl;WÃ¤hringer StraÃŸe;59;1090;Wien;restaurant;austrian;http://www.statt-beisl.at/;;;;;Mo-Fr 11:30-02:00, Sa 17:00-02:00, Su 17:00-24:00;;;;;;;;;;;
306095249;node;Pointers;Resselgasse;5;1040;Wien;restaurant;burger;sandwich;;;;+43 1 505693;info@pointers.at;"Mo-Fr 12:00-01:00, Sa 15:00-01:00; Su,PH off";;;;;;;;;;
307433233;node;Art Corner;Karolinengasse;2;1040;Wien;restaurant;greek;;;;;;;;;;;;;;;;;
307643605;node;Semendria;Obere AugartenstraÃŸe;2;1020;Wien;restaurant;;;;;;;;;;;;;;;;;;
307643606;node;La Piazza;GauÃŸplatz;7;1200;Wien;restaurant;pizza;;;;;;Mo-Su 11:00-23:00;;;;;;;;;;;
308111492;node;Centimeter I;Lenaugasse;11;1080;Wien;restaurant;;http://www.centimeter.at/die-centimeter/centimeter-rathaus/;info@centimeter.at;+43 1 470060 641;;;Mo-Su 10:00-24:00;;;;;;;;;;;
308877404;node;Carno;;;;;cafe;;;;;;;;;;;;;;;;;;
309293361;node;La Valletta;EnenkelstraÃŸe;131;1160;Wien;restaurant;italian;;;+43 1 4931340;;;We-Mo 11:00-22:00;;;;;;;;;;;
309293364;node;Schikaneder;MargaretenstraÃŸe;24;1040;Wien;bar;;https://www.schikaneder.at/;;;;;Mo-Sa 18:00-04:00, Su 18:00-01:00;;;;;;;;;;;
310676113;node;Edelhof;Edelhofgasse;13;1180;Wien;restaurant;regional;https://www.restaurant-edelhof.at/;office@restaurant-edelhof.at;+43 681 107 55 046;;;"Mo, Th-Su 17:00-24:00; Tu,We off";;;;;;;;;;;
311283080;node;Grand Cafe Am Alsergrund;Lustkandlgasse;4;;;cafe;;;;;;;;;;;;;;;;;;
311283313;node;Asia Restaurant Li-Li;Fuchsthallergasse;14;1090;Wien;restaurant;asian;http://www.lilirestaurant.com;;+43 (01) 317 55 64;;;"Mo-Sa 11:30-14:30,17:30-22:30; Su,PH 11:30-22:30";;;;;;;;;;;
311536058;node;Papaya Restaurant;Neustiftgasse;40;1070;Wien;restaurant;thai;https://papayarestaurant.at/;;4,36607E+11;;;"Sa, Su, PH 12:30-22:30; Mo off; Tu-Fr 11:30-15:00; Tu-Fr 17:00-22:30";;;;;;;;;;;
311562414;node;RadoÂ´s Gastwirtschaft;AlserbachstraÃŸe;1;1090;Wien;restaurant;traditional;regional;coffee_shop;https://www.radosgastwirtschaft.at;reservierung@radosgastwirtschaft.at;+43 660 655 38 80;;;Mo-Sa 11:00-23:00;;;;;;;;;
311821005;node;Mango;KundratstraÃŸe;6;1100;Wien;restaurant;asian;https://mango-restaurant.at/mr10;;+43 (1) 6020809;;;Tu-Su,PH 11:30-22:30;;;;;;;;;;;
311875082;node;Heuriger Bernreiter;AmtsstraÃŸe;24-26;1210;Wien;restaurant;regional;heuriger;https://www.bernreiter.at/;office@bernreiter.at;+43 1 292 36 80;+43 1 292 36 80;office@bernreiter.at;"Tu-Fr 14:00-22:00; Sa 12:00-22:00; PH,Su 11:00-22:00; Jan,Feb,Mar,May,Jul,Sep,Nov Tu-Su off; Dec 16-31 Tu-Su off";;;;;;;;;;
312073547;node;Bollyfood;Gentzgasse;23;1180;Wien;restaurant;;https://www.bollyfood.at/;;;;;;;;;;;;;;;;
313351706;node;Hagenthaler;;;;;restaurant;;;;;;;Mo-Sa 09:00-24:00, Su,PH 11:00-23:00;;;;;;;;;;;
313955132;node;modern korean;Lustkandlgasse;4;1090;Wien;restaurant;korean;https://www.modernkorean.at/;;+43 664 196 79 72;;;Tu-Sa 18:00-24:00;;;;;;;;;;;
315333560;node;Hausmair's GaststÃ¤tte;Lerchenfelder StraÃŸe;73;1070;Wien;restaurant;;https://hausmair.at/;;+43 676 7546018;;;Tu-Fr 11:00-23:00;;;;;;;;;;;
315337583;node;Lana;;;;;restaurant;pizza;https://www.lana-pizza.at/;;;;;"Mo-Fr 11:00-22:00; Sa 16:00-22:00; PH,Su off";;;;;;;;;;;
315846062;node;Wein & Co;;;;;bar;;;;;;;"Mo-We 10:00-20:00; Th-Sa 10:00-24:00; PH,Su 11:00-22:00";;;;;;;;;;;
315892697;node;doeat;;;;;restaurant;;;;;;;Mo,Tu,Th,Fr 11:00-15:00, Mo-Fr 17:00-22:00, PH,Sa,Su 12:00-22:00;;;;;;;;;;;
315986749;node;Pars;Lerchenfelder StraÃŸe;148;1080;Wien;restaurant;persian;http://pars.at;;01 4058245;;;Mo-Sa 11:00-23:30;;;;;;;;;;;
315986941;node;Strozzi;Strozzigasse;24;1080;Wien;cafe;;;;;;;Mo 08:30-22:00; Tu-Fr 08:30-23:00; Sa 09:00-15:00;;;;;;;;;
315987356;node;Ulrich;St.-Ulrichs-Platz;1;1070;Wien;restaurant;regional;https://www.ulrichwien.at/;;+43 1 9612782;;;"Mo-Fr 07:30-25:00; Sa-Su, PH 09:00-25:00";;;;;;;;;;;
